"Sampling.Event.ID","Site","SiteCode","Height","Genus","Herbicide.Treatment","Sociality","Nest.Type","Agapostemon texanus","Agapostemon virescens","Apis mellifera","Augochlorella aurata","Calliopsis nebraskensis","Ceratina dupla","Eucera hamata","Halictus ligatus","Lasioglossum Dialictus","Lasioglossum Evylaeus","Lasioglossum Hemihalictus","Melissodes bimaculata","Melissodes boltoniae","Melissodes communis","Melissodes trinodis","Osmia lignaria","Osmia pumila","Species.Density"
2,"STE","STE-N","High","Halictus","Spr","Social","Ground",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
3,"GIL","GIL-C","High","Ceratina","SnS","Semi-Social","Cavities",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
3,"GIL","GIL-C","High","Halictus","SnS","Social","Ground",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
3,"GIL","GIL-C","High","Lasioglossum","SnS","Semi-Social","Ground",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA
3,"RIS","RIS-S","Low","Augochlorella","Ref","Semi-Social","Ground",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
3,"RIS","RIS-S","Low","Ceratina","Ref","Semi-Social","Cavities",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
4,"GIL","GIL-C","Low","Augochlorella","SnS","Semi-Social","Ground",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
4,"GIL","GIL-C","Low","Lasioglossum","SnS","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
4,"RIS","RIS-S","High","Augochlorella","Ref","Semi-Social","Ground",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
4,"RIS","RIS-S","High","Ceratina","Ref","Semi-Social","Cavities",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
4,"RIS","RIS-S","High","Halictus","Ref","Social","Ground",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA
4,"RIS","RIS-S","High","Lasioglossum","Ref","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
5,"KLN","KLN-E","Low","Augochlorella","Ref","Semi-Social","Ground",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
7,"LTR","LTR-C","High","Augochlorella","Spr","Semi-Social","Ground",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
7,"LTR","LTR-C","High","Ceratina","Spr","Semi-Social","Cavities",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
7,"LTR","LTR-C","High","Halictus","Spr","Social","Ground",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
