"Sampling.Event.ID","Site","SiteCode","Height","Genus","Bee.Species","Herbicide.Treatment","Sociality","Nest.Type","Number"
4,"RIS","RIS-S","High","Halictus","Halictus ligatus","Ref","Social","Ground",2
17,"RIS","RIS-S","High","Halictus","Halictus ligatus","Ref","Social","Ground",1
3,"GIL","GIL-C","High","Halictus","Halictus ligatus","SnS","Social","Ground",1
25,"LTR","LTR-E","High","Halictus","Halictus ligatus","SnS","Social","Ground",11
25,"LTR","LTR-E","Low","Halictus","Halictus ligatus","SnS","Social","Ground",1
24,"GIL","GIL-N","High","Halictus","Halictus ligatus","Spr","Social","Ground",7
7,"LTR","LTR-C","High","Halictus","Halictus ligatus","Spr","Social","Ground",1
22,"LTR","LTR-C","High","Halictus","Halictus ligatus","Spr","Social","Ground",1
2,"STE","STE-N","High","Halictus","Halictus ligatus","Spr","Social","Ground",1
18,"STE","STE-N","High","Halictus","Halictus ligatus","Spr","Social","Ground",1
32,"STE","STE-N","High","Halictus","Halictus ligatus","Spr","Social","Ground",2
24,"GIL","GIL-N","Low","Halictus","Halictus ligatus","Spr","Social","Ground",3
