"Year","Date","Site","Patch","Adaptive.Mgmt","YSB","BFLY.Common.Name","Number"
"18",203,"PYN","PYN-N","PBG","2","cabbage white",1
"18",160,"RIS","RIS-S","PBG","2","cabbage white",1
"18",176,"RIS","RIS-S","PBG","2","cabbage white",1
"18",194,"RIS","RIS-S","PBG","2","cabbage white",2
"18",160,"KLN","KLN-W","PBG","0","clouded sulphur",3
"18",176,"KLN","KLN-W","PBG","0","clouded sulphur",1
"18",193,"KLN","KLN-W","PBG","0","clouded sulphur",2
"18",205,"KLN","KLN-W","PBG","0","clouded sulphur",3
"18",188,"PYN","PYN-S","PBG","0","clouded sulphur",2
"18",203,"PYN","PYN-S","PBG","0","clouded sulphur",3
"18",176,"RIS","RIS-C","PBG","0","clouded sulphur",1
"18",194,"RIS","RIS-C","PBG","0","clouded sulphur",2
"18",160,"KLN","KLN-C","PBG","1","clouded sulphur",4
"18",176,"KLN","KLN-C","PBG","1","clouded sulphur",3
"18",193,"KLN","KLN-C","PBG","1","clouded sulphur",4
"18",205,"KLN","KLN-C","PBG","1","clouded sulphur",1
"18",169,"PYN","PYN-W","PBG","1","clouded sulphur",2
"18",188,"PYN","PYN-W","PBG","1","clouded sulphur",3
"18",203,"PYN","PYN-W","PBG","1","clouded sulphur",2
"18",160,"KLN","KLN-E","PBG","2","clouded sulphur",1
"18",193,"KLN","KLN-E","PBG","2","clouded sulphur",1
"18",205,"KLN","KLN-E","PBG","2","clouded sulphur",1
"18",169,"PYN","PYN-N","PBG","2","clouded sulphur",2
"18",188,"PYN","PYN-N","PBG","2","clouded sulphur",1
"18",160,"RIS","RIS-S","PBG","2","clouded sulphur",2
"18",176,"RIS","RIS-S","PBG","2","clouded sulphur",3
"18",194,"RIS","RIS-S","PBG","2","clouded sulphur",4
"18",206,"RIS","RIS-S","PBG","2","clouded sulphur",1
"18",176,"RIS","RIS-C","PBG","0","common sootywing",1
"18",176,"KLN","KLN-W","PBG","0","common wood nymph",1
"18",205,"KLN","KLN-E","PBG","2","common wood nymph",1
"18",169,"PYN","PYN-N","PBG","2","common wood nymph",1
"18",205,"KLN","KLN-W","PBG","0","delaware skipper",1
"18",160,"KLN","KLN-W","PBG","0","eastern tailed blue",1
"18",176,"KLN","KLN-W","PBG","0","eastern tailed blue",17
"18",193,"KLN","KLN-W","PBG","0","eastern tailed blue",1
"18",205,"KLN","KLN-W","PBG","0","eastern tailed blue",15
"18",169,"PYN","PYN-S","PBG","0","eastern tailed blue",2
"18",188,"PYN","PYN-S","PBG","0","eastern tailed blue",2
"18",203,"PYN","PYN-S","PBG","0","eastern tailed blue",3
"18",176,"RIS","RIS-C","PBG","0","eastern tailed blue",2
"18",160,"KLN","KLN-C","PBG","1","eastern tailed blue",3
"18",176,"KLN","KLN-C","PBG","1","eastern tailed blue",5
"18",193,"KLN","KLN-C","PBG","1","eastern tailed blue",11
"18",205,"KLN","KLN-C","PBG","1","eastern tailed blue",2
"18",147,"PYN","PYN-W","PBG","1","eastern tailed blue",1
"18",169,"PYN","PYN-W","PBG","1","eastern tailed blue",9
"18",188,"PYN","PYN-W","PBG","1","eastern tailed blue",1
"18",203,"PYN","PYN-W","PBG","1","eastern tailed blue",22
"18",176,"RIS","RIS-N","PBG","1","eastern tailed blue",3
"18",206,"RIS","RIS-N","PBG","1","eastern tailed blue",1
"18",160,"KLN","KLN-E","PBG","2","eastern tailed blue",1
"18",176,"KLN","KLN-E","PBG","2","eastern tailed blue",6
"18",193,"KLN","KLN-E","PBG","2","eastern tailed blue",12
"18",205,"KLN","KLN-E","PBG","2","eastern tailed blue",3
"18",147,"PYN","PYN-N","PBG","2","eastern tailed blue",2
"18",169,"PYN","PYN-N","PBG","2","eastern tailed blue",5
"18",188,"PYN","PYN-N","PBG","2","eastern tailed blue",1
"18",203,"PYN","PYN-N","PBG","2","eastern tailed blue",29
"18",160,"RIS","RIS-S","PBG","2","eastern tailed blue",1
"18",176,"RIS","RIS-S","PBG","2","eastern tailed blue",4
"18",194,"RIS","RIS-S","PBG","2","eastern tailed blue",3
"18",147,"PYN","PYN-S","PBG","0","eastern tiger swallowtail",1
"18",160,"RIS","RIS-N","PBG","1","eastern tiger swallowtail",1
"18",176,"RIS","RIS-N","PBG","1","giant swallowtail",1
"18",206,"RIS","RIS-S","PBG","2","gray copper",1
"18",188,"PYN","PYN-S","PBG","0","great spangled fritillary",1
"18",160,"RIS","RIS-C","PBG","0","great spangled fritillary",2
"18",176,"RIS","RIS-C","PBG","0","great spangled fritillary",5
"18",176,"KLN","KLN-C","PBG","1","great spangled fritillary",1
"18",169,"PYN","PYN-W","PBG","1","great spangled fritillary",2
"18",188,"PYN","PYN-W","PBG","1","great spangled fritillary",2
"18",160,"RIS","RIS-N","PBG","1","great spangled fritillary",3
"18",176,"RIS","RIS-N","PBG","1","great spangled fritillary",1
"18",176,"KLN","KLN-E","PBG","2","great spangled fritillary",2
"18",169,"PYN","PYN-N","PBG","2","great spangled fritillary",1
"18",160,"RIS","RIS-S","PBG","2","great spangled fritillary",2
"18",176,"RIS","RIS-S","PBG","2","great spangled fritillary",3
"18",194,"RIS","RIS-S","PBG","2","indigo duskywing",1
"18",160,"KLN","KLN-C","PBG","1","least skipper",1
"18",147,"PYN","PYN-W","PBG","1","least skipper",1
"18",176,"RIS","RIS-C","PBG","0","little wood satyr",1
"18",176,"KLN","KLN-W","PBG","0","little yellow",1
"18",205,"KLN","KLN-W","PBG","0","little yellow",1
"18",194,"RIS","RIS-C","PBG","0","little yellow",1
"18",160,"KLN","KLN-W","PBG","0","meadow fritillary",1
"18",160,"RIS","RIS-C","PBG","0","meadow fritillary",6
"18",176,"RIS","RIS-C","PBG","0","meadow fritillary",2
"18",194,"RIS","RIS-C","PBG","0","meadow fritillary",2
"18",160,"KLN","KLN-C","PBG","1","meadow fritillary",3
"18",169,"PYN","PYN-W","PBG","1","meadow fritillary",1
"18",188,"PYN","PYN-W","PBG","1","meadow fritillary",5
"18",160,"RIS","RIS-N","PBG","1","meadow fritillary",2
"18",194,"RIS","RIS-N","PBG","1","meadow fritillary",1
"18",160,"KLN","KLN-E","PBG","2","meadow fritillary",3
"18",169,"PYN","PYN-N","PBG","2","meadow fritillary",1
"18",188,"PYN","PYN-N","PBG","2","meadow fritillary",1
"18",160,"RIS","RIS-S","PBG","2","meadow fritillary",1
"18",194,"RIS","RIS-S","PBG","2","meadow fritillary",1
"18",176,"KLN","KLN-W","PBG","0","melissa blue",10
"18",205,"KLN","KLN-W","PBG","0","melissa blue",4
"18",160,"KLN","KLN-C","PBG","1","melissa blue",3
"18",176,"KLN","KLN-C","PBG","1","melissa blue",3
"18",193,"KLN","KLN-C","PBG","1","melissa blue",3
"18",160,"KLN","KLN-E","PBG","2","melissa blue",1
"18",176,"KLN","KLN-W","PBG","0","monarch",1
"18",176,"RIS","RIS-C","PBG","0","monarch",1
"18",160,"RIS","RIS-N","PBG","1","monarch",1
"18",160,"KLN","KLN-E","PBG","2","monarch",1
"18",205,"KLN","KLN-E","PBG","2","monarch",1
"18",160,"RIS","RIS-S","PBG","2","monarch",2
"18",194,"RIS","RIS-S","PBG","2","monarch",1
"18",160,"KLN","KLN-W","PBG","0","orange sulphur",1
"18",176,"KLN","KLN-W","PBG","0","orange sulphur",1
"18",193,"KLN","KLN-W","PBG","0","orange sulphur",1
"18",205,"KLN","KLN-W","PBG","0","orange sulphur",2
"18",169,"PYN","PYN-S","PBG","0","orange sulphur",4
"18",188,"PYN","PYN-S","PBG","0","orange sulphur",3
"18",203,"PYN","PYN-S","PBG","0","orange sulphur",2
"18",176,"RIS","RIS-C","PBG","0","orange sulphur",4
"18",194,"RIS","RIS-C","PBG","0","orange sulphur",2
"18",206,"RIS","RIS-C","PBG","0","orange sulphur",1
"18",160,"KLN","KLN-C","PBG","1","orange sulphur",1
"18",176,"KLN","KLN-C","PBG","1","orange sulphur",5
"18",193,"KLN","KLN-C","PBG","1","orange sulphur",2
"18",205,"KLN","KLN-C","PBG","1","orange sulphur",7
"18",147,"PYN","PYN-W","PBG","1","orange sulphur",1
"18",169,"PYN","PYN-W","PBG","1","orange sulphur",3
"18",188,"PYN","PYN-W","PBG","1","orange sulphur",5
"18",203,"PYN","PYN-W","PBG","1","orange sulphur",2
"18",176,"RIS","RIS-N","PBG","1","orange sulphur",3
"18",194,"RIS","RIS-N","PBG","1","orange sulphur",7
"18",160,"KLN","KLN-E","PBG","2","orange sulphur",2
"18",176,"KLN","KLN-E","PBG","2","orange sulphur",2
"18",193,"KLN","KLN-E","PBG","2","orange sulphur",4
"18",205,"KLN","KLN-E","PBG","2","orange sulphur",2
"18",169,"PYN","PYN-N","PBG","2","orange sulphur",2
"18",188,"PYN","PYN-N","PBG","2","orange sulphur",2
"18",203,"PYN","PYN-N","PBG","2","orange sulphur",4
"18",160,"RIS","RIS-S","PBG","2","orange sulphur",2
"18",194,"RIS","RIS-S","PBG","2","orange sulphur",1
"18",206,"RIS","RIS-S","PBG","2","orange sulphur",1
"18",160,"KLN","KLN-W","PBG","0","pearl crescent",1
"18",205,"KLN","KLN-W","PBG","0","pearl crescent",2
"18",176,"RIS","RIS-C","PBG","0","pearl crescent",3
"18",176,"KLN","KLN-C","PBG","1","pearl crescent",4
"18",193,"KLN","KLN-C","PBG","1","pearl crescent",1
"18",169,"PYN","PYN-W","PBG","1","pearl crescent",1
"18",188,"PYN","PYN-W","PBG","1","pearl crescent",1
"18",176,"RIS","RIS-N","PBG","1","pearl crescent",6
"18",176,"KLN","KLN-E","PBG","2","pearl crescent",11
"18",193,"KLN","KLN-E","PBG","2","pearl crescent",1
"18",205,"KLN","KLN-E","PBG","2","pearl crescent",1
"18",169,"PYN","PYN-N","PBG","2","pearl crescent",1
"18",176,"RIS","RIS-S","PBG","2","pearl crescent",1
"18",194,"RIS","RIS-S","PBG","2","pearl crescent",1
"18",205,"KLN","KLN-W","PBG","0","peck's skipper",2
"18",147,"PYN","PYN-W","PBG","1","peck's skipper",1
"18",147,"PYN","PYN-N","PBG","2","peck's skipper",3
"18",160,"RIS","RIS-S","PBG","2","peck's skipper",1
"18",169,"PYN","PYN-W","PBG","1","red-spotted purple",1
"18",176,"RIS","RIS-S","PBG","2","regal fritillary",4
"18",205,"KLN","KLN-W","PBG","0","silver-spotted skipper",1
"18",206,"RIS","RIS-C","PBG","0","silver-spotted skipper",1
"18",203,"PYN","PYN-N","PBG","2","silver-spotted skipper",1
"18",169,"PYN","PYN-W","PBG","1","silvery checkerspot",1
"18",176,"RIS","RIS-N","PBG","1","silvery checkerspot",1
"18",147,"PYN","PYN-N","PBG","2","viceroy",1
